time,input_aIL6R,input_aIL1A,input_aIL1B,input_aTNFA,input_aIL1R,input_aIL10R,input_IFNG,TNFA_mfi,TNFA_mfi_std,IL1A_mfi,IL1A_mfi_std,IL1B_mfi,IL1B_mfi_std,IL6_mfi,IL6_mfi_std,IL10_mfi,IL10_mfi_std,p19_mfi,p19_mfi_std
16,1,1,1,1,1,1,1,0.409779744,1,0.287319561,1,0.293582061,1,0.504929134,1,0.178086532,1,0.024568384,1
16,1,1,1,1,1,1,1,0.300836001,1,0.260310537,1,0.285461349,1,0.415032212,1,0.235926251,1,0.023149621,1
16,1,1,1,1,1,1,1,0.271898895,1,0.238777923,1,0.297045595,1,0.378868574,1,0.186224532,1,0.024525492,1
16,1,1,1,1,1,1,1,0.158561038,1,0.269064275,1,0.30751079,1,0.342665286,1,0.194206548,1,0.156284818,1
16,1,1,1,1,1,1,1,0.259990882,1,0.373598899,1,0.452573329,1,0.412424673,1,0.180611341,1,0.069281325,1
16,1,1,1,1,1,1,1,0.773815474,1,0.324134523,1,0.436006302,1,0.455889594,1,0.174356633,1,0.159081755,1
16,1,1,1,1,1,1,1,0.263292189,1,0.322174948,1,0.435497232,1,0.371691937,1,0.248509813,1,0.128472288,1
16,1,1,1,1,1,1,1,0.444257217,1,0.498507302,1,0.436398078,1,0.481323538,1,0.377986319,1,0.11415303,1
16,1,1,1,1,1,1,1,0.494886413,1,0.588898548,1,0.554826431,1,0.56789367,1,0.465941801,1,0.448299446,1
16,1,1,1,1,1,1,1,0.213618912,1,0.369773023,1,0.42786255,1,0.545391247,1,0.327417183,1,0.040990689,1
16,1,1,1,1,1,1,1,0.140315016,1,0.353042872,1,0.378850814,1,0.355834247,1,0.210218784,1,0.003896522,1
16,1,1,1,1,1,1,1,0.257216944,1,0.429238455,1,0.421532215,1,0.411448429,1,0.338040545,1,0.066733692,1
16,1,1,1,1,1,1,1,0.392855069,1,0.445375208,1,0.446047339,1,0.416864998,1,0.426996324,1,0.063037458,1
